X,Y,id_propi,POBLADO,PROVINCIA,ANYO,coord_X,coord_Y,1945,1956,2014
155295.9584,4829500.018,115,La Espiñeira,Lugo,1958,-7.2663284,43.53880694,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/1945/115.jpeg,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/1956/115.jpeg,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/2014/115.jpeg
229046.6107,4058708.941,117,La Ina,Cádiz,1952,-6.03042033,36.63543155,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/1945/117.jpeg,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/1956/117.jpeg,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/2014/117.jpeg
660541.8229,4622790.896,118,La Joyosa y Marlofa,Zaragoza,1954,-1.06936136,41.74072416,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/1945/118.jpeg,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/1956/118.jpeg,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/2014/118.jpeg
660240.8257,4623239.899,119,La Joyosa y Marlofa,Zaragoza,1954,-1.07285821,41.74482682,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/1945/119.jpeg,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/1956/119.jpeg,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/2014/119.jpeg
191416.3038,4444850.848,120,La Moheda,Cáceres,1954,-6.61983272,40.09740035,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/1945/120.jpeg,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/1956/120.jpeg,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/2014/120.jpeg
330462.2199,4154694.582,121,La Montiela,Córdoba,1964,-4.91857547,37.52365144,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/1945/121.jpeg,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/1956/121.jpeg,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/2014/121.jpeg
246536.3504,4065646.069,122,La Pedrosa,Cádiz,1960,-5.83732864,36.70270644,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/1945/122.jpeg,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/1956/122.jpeg,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/2014/122.jpeg
416488.3906,4208043.666,123,La Quintería,Jaén,1953,-3.95138538,38.01623764,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/1945/123.jpeg,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/1956/123.jpeg,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/2014/123.jpeg
379090.0368,4410892.92,124,La Rinconada,Toledo,1949,-4.41314583,39.83944634,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/1945/124.jpeg,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/1956/124.jpeg,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/2014/124.jpeg
403238.3073,4212393.665,125,La Ropera,Jaén,1953,-4.10289741,38.05411817,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/1945/125.jpeg,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/1956/125.jpeg,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/2014/125.jpeg
