DATOS GENERALES,Nombre de la Presa:,Otro Nombre:,En fase de:,Titular de la presa:,Proyectista:,Categoría según riesgo:,Fin de las obras:,Recrecimiento:,X utm 30,Y utm 30,Usos del embalse:,Usuarios:,DATOS HIDROLÓGICOS,Superficie de la cuenca (km2):,Aportación media anual (hm3):,Precipitación media anual (mm):,Avenida de Proyecto (m3/s):,PRESA,Tipo de Presa:,Altura desde cimientos (m):,Longitud de coronación (m):,Cota coronación (m):,Cota cimentación (m):,Cota cauce (m):,Volumen cuerpo presa (1000 m3):,Nº de desagües:,Capacidad desagüe (m3/s):,Nº de aliviaderos:,Capacidad aliviaderos (m3/s):,Regulación:,DATOS GEOGRÁFICOS,Rio de ubicación:,Municipio:,Vertiente:
,ALIA,,Explotación,AYUNTAMIENTO DE ALIA,G. GARCIA VILLA,,31-12-1973,--,0304763,4375849,Abastecimiento                                    -  -,-  -,,"2,900","2,000","0,000","31,000",,Gravedad,"20,000","87,700","733,500","713,500","716,300","6,800",000,-,001,"38,000 -","No, Labio fijo -",,JARIGÜELA,ALIA,GUADIANA
,ALIAGA,,Explotación,ELECTRICAS REUNIDAS DE ZARAGOZA,M. MANTECON NAVASAL,C,31-12-1947,--,0695551,4506072,Industrial                                        -  -,-  -,,"284,000","0,000","0,000","284,000",,Gravedad,"20,000","42,000","1091,000","1071,000","1075,500","4,820",000,-,001,"250,000 -","No, Labio fijo -",,GUADALOPE,ALIAGA,EBRO
,ALISAL / SAN MIGUEL,,Explotación,RIOTINTO MINERA,J. ALBELDA ALBERT,,31-12-1900,--,0168149,4188518,Industrial                                        -  -,-  -,,"3,130","0,000","0,000","0,000",,Gravedad,"24,000","110,800","302,100","278,100","281,500","8,160",000,-,001,"18,000 -","No, Labio fijo -",,ALISAL,ALMONASTER LA REAL,C. ATLÁNTICA ANDALUZA
,ALISEDA,,Explotación,"JUNTA DE EXTREMADURA, C.A.C.",J. MORA,A,01-01-1978,--,0182211,4369383,Abastecimiento                                    -  - Riego,-  -,,"13,860","0,000","545,000","58,000",,Materiales sueltos P hormigón,"24,500","97,000","352,800","328,300","330,200","84,770",001,"0,000 -",001,"58,000 -","No, Labio fijo -",,ALISEDA (RIVERA ALISEDA),ALISEDA,TAJO
,"ALISILLO, EL",MONTORO,Explotación,REPSOL PETROLEO S.A.,,C,01-01-1950,--,0404255,4265430,Abastecimiento                                    -  -,-  -,,"572,000","0,000","0,000","0,000",,Gravedad,"41,000","174,000","547,980","506,980","510,430","52,500",001,"0,000 -",001,"800,000 -",Compuertas. -,,MONTORO,MESTANZA,GUADALQUIVIR
,ALLOZ,,Explotación,ESTADO,"F. CABALLERO, E. BECERRIL",A,31-12-1930,--,0586674,4729054,Hidroeléctrico                                    -  - Riego,-  -,,"155,000","120,000","757,000","155,000",,Bóveda,"66,800","74,400","469,690","402,890","407,890","18,470",001,"25,000 -",001,"247,000 -",Compuertas. -,,SALADO,"YERRI, GUESALAZ",EBRO
,ALMADENES,,Explotación,IBERDROLA GENERACION S.A.,"J.M. SIERRA, A. DEL REAL",,31-12-1925,--,0640874,4229761,Hidroeléctrico                                    -  -,-  -,,"0,000","0,000","0,000","0,000",,Gravedad,"37,000","98,000","224,000","187,000","208,700","31,190",000,-,001,"700,000 -","No, Labio fijo -",,SEGURA,CIEZA,SEGURA
,ALMANCHARES,,Explotación,JUNTA DE ANDALUCÍA,J.A. RODRIGUEZ ARRIBAS,C,31-12-1995,--,0401247,4079919,Derivación                                        -  -,-  -,,"10,870","0,000","0,000","100,000",,Gravedad,"21,120","65,000","264,730","243,610","246,800","6,430",001,"36,000 -",001,"100,000 -","No, Labio fijo -",,ALMANCHARES,CANILLAS DE ACEITUNO,C. MEDITERRANEA ANDALUZA
,ALMANSA,,Explotación,AYUNTAMIENTO DE ALMANSA,PEDRO AGUIRRE,,31-12-1584,--,0657974,4303751,Riego                                             -  -,-  -,,"203,000","24,160","396,000","45,000",,,"25,000","86,400","740,000","715,000","719,310","5,670",001,"0,000 -",001,"26,000 -","No, Labio fijo -",,BELEN GRANDE (RAMBLA DEL PANTANO),ALMANSA,JÚCAR
,ALMENDRA,,Explotación,IBERDROLA GENERACION S.A.,P. GUINEA,A,31-12-1970,--,0221760,4574461,Hidroeléctrico                                    -  -,-  -,,"7100,000","1690,000","626,000","5300,000",,Bóveda,"202,000","567,230","732,000","530,000","547,000","2,186",002,"204,000 - 900,000",001,"3039,000 -",Compuertas. -,,TORMES,ALMENDRA Y VILLAR DEL BUEY,DUERO
,ALMENDRA (DIQUE DEL COLLADO 1),,Explotación,IBERDROLA GENERACION S.A.,P. GUINEA,,31-12-1970,--,0221760,4574461,Hidroeléctrico                                    -  -,-  -,,"7100,000","1690,000","626,000","5300,000",,,"31,000","1372,410","732,000","701,000","703,000","220,810",000,-,000,-,-,,TORMES,ALMENDRA Y VILLAR DEL BUEY,DUERO
,ALMENDRA (DIQUE DEL COLLADO 2),,Explotación,IBERDROLA GENERACION S.A.,P. GUINEA,,31-12-1970,--,0221760,4574461,Hidroeléctrico                                    -  -,-  -,,"7100,000","1690,000","626,000","5300,000",,Materiales sueltos P asfáltica,"30,000","656,000","733,000","703,000","0,000","322,000",000,-,000,-,-,,TORMES,ALMENDRA Y VILLAR DEL BUEY,DUERO
