DATOS GENERALES,Nombre de la Presa:,Otro Nombre:,En fase de:,Titular de la presa:,Proyectista:,Categoría según riesgo:,Fin de las obras:,Recrecimiento:,X utm 30,Y utm 30,Usos del embalse:,Usuarios:,DATOS HIDROLÓGICOS,Superficie de la cuenca (km2):,Aportación media anual (hm3):,Precipitación media anual (mm):,Avenida de Proyecto (m3/s):,PRESA,Tipo de Presa:,Altura desde cimientos (m):,Longitud de coronación (m):,Cota coronación (m):,Cota cimentación (m):,Cota cauce (m):,Volumen cuerpo presa (1000 m3):,Nº de desagües:,Capacidad desagüe (m3/s):,Nº de aliviaderos:,Capacidad aliviaderos (m3/s):,Regulación:,DATOS GEOGRÁFICOS,Rio de ubicación:,Municipio:,Vertiente:
,ALMENDRA (DIQUE DEL COLLADO 3),,Explotación,IBERDROLA GENERACION S.A.,P. GUINEA,,31-12-1970,--,0221760,4574461,Hidroeléctrico                                    -  -,-  -,,"7100,000","1690,000","626,000","5300,000",,Materiales sueltos P asfáltica,"29,000","1007,000","733,000","704,000","704,000","640,890",000,-,000,-,-,,TORMES,ALMENDRA Y VILLAR DEL BUEY,DUERO
,ALMOCHUEL,,Explotación,ESTADO,,B,31-12-1914,--,0705250,4574287,Riego                                             -  -,-  -,,"14,000","1,200","400,000","20,000",,Materiales sueltos núcleo arcilla,"14,000","1131,210","472,600","458,600","461,600","30,720",001,"1,000 -",001,"210,000 -","No, Labio fijo -",,AGUASVIVAS (EN DERIVACION),ALMOCHUEL,EBRO
,ALMOCHUEL (DIQUE DEL COLLADO),,Explotación,ESTADO,,C,31-12-1914,--,0704580,4574225,Riego                                             -  -,-  -,,"14,000","1,120","400,000","20,000",,Gravedad,"3,030","100,000","471,600","468,570","469,800","0,400",001,"1,000 -",001,"20,000 -","No, Labio fijo -",,AGUAS VIVAS (en derivación),ALMOCHUEL,EBRO
,ALMODOVAR,,Explotación,JUNTA DE ANDALUCÍA,J.L. RAMIREZ VACAS,A,31-12-1972,01-01-1997,0261730,4004456,Abastecimiento                                    -  - Riego,-  -,,"16,500","0,000","0,000","600,000",,Gravedad,"42,000","126,000","104,350","62,350","70,000","40,490",001,"21,200 -",001,"340,000 -",Compuertas. -,,ALMODOVAR,TARIFA,C. ATLÁNTICA ANDALUZA
,ALMODOVAR (DIQUE DEL COLLADO),,Explotación,JUNTA DE ANDALUCÍA,J.L. RAMIREZ VACAS,A,31-12-1997,01-01-1997,0261945,4004510,Abastecimiento                                    -  - Riego,-  -,,"16,500","0,000","0,000","600,000",,Materiales sueltos homogenea,"9,200","698,400","105,200","96,000","98,200","165,310",000,-,000,-,-,,ALMODOVAR,TARIFA,GUADALQUIVIR
,ALMOGUERA,,Explotación,UNION FENOSA GENERACION S.A.,J. HDEZ. RUBIO / EPTISA,A,01-01-1947,--,0503585,4460330,Hidroeléctrico                                    -  - Regulación,-  -,,"7,880","1182,000","484,000","2000,000",,Gravedad,"20,500","65,000","587,000","566,500","570,500","28,500",001,"290,000 -",001,"1600,000 -",Compuertas. -,,TAJO,ALMOGUERA,TAJO
,ALOS,,Explotación,MEDITERRANEA ELECTRICIDAD,Q. FERNANDEZ,,31-12-1991,--,0823354,4646988,Hidroeléctrico                                    -  -,-  -,,"4318,000","79,000","703,000","2250,000",,Gravedad,"20,500","70,000","267,000","246,500","253,820","4,400",000,-,001,"2564,000 -","No, Labio fijo -",,SEGRE,ALOS DE BALAGUER,EBRO
,ALPOTREL,,Explotación,"JUNTA DE EXTREMADURA, C.O.P.T",ANGEL ARCONES,A,01-07-1991,--,0137354,4366728,Abastecimiento                                    -  -,-  -,,"12,000","1,420","710,000","500,800",,Materiales sueltos núcleo arcilla,"26,500","567,750","502,500","476,000","479,000","198,285",001,"2,180 -",001,"48,000 -","No, Labio fijo -",,ARROYO ALPOTREL,VALENCIA DE ALCANTARA,TAJO
,ALSA TORINA,ALSA,Explotación,"ELECTRA DE VIESGO II, S.A.U.","FONTANA, PRESMANES Y ELORZA",A,31-12-1921,01-01-1981,0418760,4771895,Hidroeléctrico                                    -  -,-  -,,"19,500","0,000","0,000","124,780",,Gravedad,"49,320","190,000","843,000","793,680","799,180","85,500",002,"0,000 - 0,000",001,"100,000 -",Compuertas. -,,TORINA,SAN MIGUEL DE AGUAYO,NORTE
,ALTAREJOS,GUADIATOCA,Explotación,CARLOS MARCH DELGADO,M. SALAVERRIA,,31-12-1989,--,0261650,4226950,Ganadero                                          -  -,-  -,,"20,000","4,000","690,000","328,000",,Bóveda,"20,500","69,000","473,000","452,500","458,000","4,620",001,"5,000 -",001,"338,000 -","No, Labio fijo -",,ARROYO GUADIOTA,GUADALCANAL,GUADALQUIVIR
,AMADORIO,,Explotación,ESTADO,J. AURA CANDELA,A,01-01-1957,--,0738390,4272435,Abastecimiento                                    -  - Riego,-  -,,"205,000","5,500","360,000","400,000",,Gravedad,"64,150","333,000","129,650","65,500","71,650","267,890",001,"68,000 -",001,"520,000 -",Compuertas. -,,AMADORIO,VILLAJOYOSA,JÚCAR
,AMITGES DE RATERA,AMITGES,Explotación,ENDESA GENERACION S.A.,P. DURAN FARELL,A,31-10-1958,--,0827621,4724169,Defensa frente a avenidas                         -  - Hidroeléctrico,-  -,,"1,960","1,000","1360,000","7,000",,Gravedad,"11,000","167,500","2369,500","2358,500","2361,500","16,640",001,"1,500 -",001,"7,000 -","No, Labio fijo -",,RATERA,ESPOT,EBRO
,AMITGES DE RATERA (DIQUE DEL COLLADO),AMITGES  (DIQUE DEL COLLADO),Explotación,ENDESA GENERACION S.A.,P. DURAN,C,31-12-1958,--,0827621,4724169,Regulación                                        -  - Defensa frente a avenidas,-  -,,"1,960","1,000","1360,000","7,000",,Gravedad,"2,000","25,000","2369,250","2367,250","2368,850","20,000",000,-,000,-,-,,RATERA,ESPOT,EBRO
,ANCHURICAS / MILLER,,Explotación,IBERDROLA GENERACION S.A.,E-BECERRIL Y J.A. GARCIA,,31-12-1957,--,0541135,4228780,Hidroeléctrico                                    -  -,-  -,,"187,000","0,000","0,000","0,000",,Contrafuertes,"54,000","188,100","912,500","858,500","874,500","69,000",000,-,001,"823,000 -","No, Labio fijo -",,SEGURA,SANTIAGO DE ESPADA,SEGURA
,ANDEVALO,,Puesta en Carga,JUNTA DE ANDALUCÍA,F. LOPEZ ZAFRA - INCISA,A,01-05-2003,--,0111905,4172501,Regulación                                        -  -,-  -,,"738,000","120,000","650,000","1260,000",,Materiales sueltos núcleo arcilla,"69,500","1830,000","116,500","47,000","49,000","0,000",001,"135,000 -",001,"417,000 -","No, Labio fijo -",,MALAGON-RIVERA,PUEBLA DE GUZMAN,C. ATLÁNTICA ANDALUZA
,"ANGELES, LOS",LOS ANGELES DE SAN RAFAEL,Explotación,COMPAÑÍA INTERNACIONAL DE BIENES RAICES S.A.,"LOPEZ, RAMIREZ Y GIMENEZ",,31-12-1969,--,0394770,4516426,Recreo                                            -  -,-  -,,"187,000","60,000","560,000","337,000",,Bóveda,"37,250","110,000","1012,850","975,600","978,850","5,700",000,-,001,"360,000 -","No, Labio fijo -",,MOROS,VEGAS DE MATUTE,DUERO
,ANLLARINOS,,Explotación,UNION FENOSA GENERACION S.A.,R. DEL HOYO,C,31-12-1983,--,0210544,4748742,Industrial                                        -  -,-  -,,"1,000","0,000","900,000","17,000",,Materiales sueltos homogenea,"18,200","180,200","937,500","919,000","920,000","49,040",000,-,001,"17,000 -","No, Labio fijo -",,ANLLARINOS,PARAMO DEL SIL,NORTE
,ANTOÑAN DEL VALLE,SAN MIGUEL,Explotación,COMUNIDAD DE REGANTES DE LA PRESA DE SAN VICENTE,E-GARCIA / IRYDA,,31-12-1988,--,0253307,4717423,Riego                                             -  -,-  -,,"9,000","1,000","544,000","70,000",,Materiales sueltos homogenea,"18,000","240,000","929,500","911,500","916,000","70,970",001,"0,600 -",001,"70,000 -","No, Labio fijo -",,BORRAZ,BENAVIDES,DUERO
,AÑARBE,,Explotación,MANCOMUNIDAD DE AGUAS DEL AÑARBE,J. ZUAZOLA Y M. ECHANIZ,A,31-12-1976,--,0591470,4785190,Abastecimiento                                    -  -,-  -,,"64,700","120,160","0,000","300,000",,Gravedad,"79,500","304,000","163,500","84,000","92,000","297,000",002,"39,200 - 24,100",001,"593,000 -",Compuertas. -,,AÑARBE,ARANO,NORTE
,AÑARBE (DIQUE DEL COLLADO),,Explotación,"AGUAS DEL AÑARBE, S.A.",N-ECHANIZ Y J.ZUAZOLA,,31-12-1976,--,0591370,4785240,Abastecimiento                                    -  -,-  -,,"67,700","120,160","0,000","300,000",,Gravedad,"8,000","111,000","162,500","155,000","0,000","0,000",000,-,000,-,-,,AÑARBE,ARANO,NORTE
,ARACENA,,Explotación,ESTADO,J-D-MILLAN,A,31-12-1969,--,0196504,4194861,Abastecimiento                                    -  -,-  -,,"408,000","0,000","0,000","1600,000",,Contrafuertes,"59,500","612,000","345,500","286,000","296,000","315,000",001,"76,000 -",001,"1600,000 -",Compuertas. -,,RIVERA DE HUELVA,"PUERTO MORAL, ARACENA Y ZUFRE",GUADALQUIVIR
,ARAVALLE,,Explotación,SUMINISTRO Y GESTIÓN DE AGUAS S.L.,L.A. GARCIA,,31-12-1978,--,0280640,4467384,Abastecimiento                                    -  -,-  -,,"87,400","85,000","0,000","308,000",,Bóveda,"14,000","55,000","1069,500","1055,500","1058,000","1,200",000,-,001,"308,000 -","No, Labio fijo -",,ARAVALLE,UMBRIAS,DUERO
,ARAYA DE ARRIBA,,Explotación,"CAMPOS DE ARAYA, S.A.",V-GARCIA Y J. LIRIA,,01-01-1958,--,0184317,4380585,Riego                                             -  -,-  -,,"16,900","0,000","0,000","48,000",,Gravedad,"18,800","163,000","337,000","318,200","320,750","6,680",001,"1,900 -",001,"48,000 -","No, Labio fijo -",,ANCIANES,BROZAS,TAJO
,ARAYA DE ARRIBA (DIQUE DEL COLLADO),,Explotación,"CAMPOS DE ARAYA, S.A.",V-GARCIA Y J. LIRIA,,01-01-1958,--,0184298,4380608,Riego                                             -  -,-  -,,"16,900","0,000","0,000","48,000",,Contrafuertes,"5,500","450,000","336,500","331,000","331,000","5,000",000,-,001,"48,000 -","No, Labio fijo -",,ANCIANES,BROZAS,TAJO
,ARBON,,Explotación,"ELECTRA DE VIESGO II, S.A.U.",J. ELORZA,A,31-12-1967,--,0198055,4820688,Hidroeléctrico                                    -  -,-  -,,"2443,000","0,000","0,000","3000,000",,Materiales sueltos núcleo arcilla,"35,000","180,000","35,700","0,700","4,200","322,500",001,"0,000 -",002,"600,000 - 2400,000",Compuertas. - Compuertas.,,NAVIA,"COAÑA, VILLAYON",NORTE
,ARCE DE ABAJO,,Explotación,MANUEL REMEDIOS MONTES,A. VICENTE DE ARCE,,01-01-1755,--,0182867,4388986,Recreo                                            -  -,-  -,,"0,000","0,000","0,000","0,000",,Gravedad y Contrafuertes,"4,000","211,000","323,500","319,500","320,000","0,700",000,-,001,"0,000 -","No, Labio fijo -",,JUMADIEL,BROZAS,TAJO
,ARCE DE ARRIBA,,Explotación,M.C. FLORES LIZAUR,A. VICENTE DE ARCE,,01-01-1755,--,0184073,4389245,Pesca                                             -  - Riego,-  -,,"10,000","0,000","0,000","0,000",,Gravedad y Contrafuertes,"7,000","259,000","0,000","0,000","0,000","4,000",000,-,001,"0,000 -","No, Labio fijo -",,NOQUES - JUMADIEL (ARROYO N-J),BROZAS,TAJO
,ARCENIEGA,,Explotación,CONSORCIO DE AGUAS KANTAURIKO URKIDETZA,J-RUIZ,A,31-12-1990,--,0485986,4772914,Abastecimiento                                    -  -,-  -,,"11,500","7,670","1280,000","156,000",,Materiales sueltos homogenea,"28,000","173,000","335,500","0,000","0,000","207,750",001,"0,000 -",001,"238,400 -","No, Labio fijo -",,ARCENIEGA,VALLE DE MENA,NORTE
,ARCOCHA,,Explotación,AYUNTAMIENTO DE ZARATAMO,C-RODAS Y AURRECOECHEA,,31-12-1963,--,0511618,4785558,Abastecimiento                                    -  -,-  -,,"0,200","0,000","0,000","0,000",,Gravedad,"20,000","75,000","125,000","105,000","112,000","5,000",000,-,001,"1,000 -","No, Labio fijo -",,CHARROTA,ZARATAMO,NORTE
,ARCOS,,Explotación,JUNTA DE ANDALUCÍA,J-ARRAEZ,A,01-01-1965,--,0250520,4071143,Hidroeléctrico                                    -  - Riego,-  -,,"25,000","0,000","0,000","0,000",,Gravedad,"22,000","191,000","69,000","47,000","54,500","25,000",002,"6,000 - 5,000",001,"1728,000 -",Compuertas. -,,GUADALETE,ARCOS DE LA FRONTERA,C. ATLÁNTICA ANDALUZA
,ARCOS (DIQUE DEL COLLADO),,Explotación,JUNTA DE ANDALUCÍA,J-ARRAEZ,A,01-01-1965,--,0250520,4071143,Hidroeléctrico                                    -  - Riego,-  -,,"25,000","0,000","0,000","0,000",,Materiales sueltos núcleo arcilla,"17,000","514,000","70,000","53,000","60,000","204,000",000,-,000,-,-,,GUADALETE,ARCOS DE LA FRONTERA,C. ATLÁNTICA ANDALUZA
,ARDISA,,Explotación,ESTADO,"F. DE LOS RIOS, J. NICOLAU",B,31-12-1927,01-01-1935,0685530,4672725,Abastecimiento                                    -  - Hidroeléctrico,-  -,,"2051,000","1018,000","1100,000","2478,000",,Gravedad,"34,640","440,000","422,040","387,400","392,540","76,000",002,"144,000 - 9,500",001,"2372,000 -",Compuerta sect -,,GALLEGO,"ARDISA, BISCARRUES",EBRO
,ARENAS DE SAN PEDRO,,Explotación,AYUNTAMIENTO DE ARENAS DE SAN PEDRO,D-SALVADOR,,01-01-1975,--,0321411,4453809,Abastecimiento                                    -  -,-  -,,"14,400","13,000","0,000","92,000",,Gravedad,"20,000","148,000","531,800","511,800","514,500","21,000",001,"0,000 -",001,"92,000 -","No, Labio fijo -",,CUEVAS,ARENAS DE SAN PEDRO,TAJO
,ARENOS,,Explotación,ESTADO,V. GRACIA Y C.CAÑEDO,A,01-08-1980,--,0709367,4440095,Regulación                                        -  - Riego,-  -,,"1430,000","143,000","500,000","3873,000",,Materiales sueltos núcleo arcilla,"105,000","428,000","603,000","498,000","500,000","3787,000",001,"220,700 -",003,"340,000 - 1020,000","No, Labio fijo - Compuertas.",,MIJARES,MONTANEJOS,JÚCAR
,ARENOSO,,Construcción,ESTADO,,A,--,--,0373607,4209332,Riego                                             -  - Hidroeléctrico,-  -,,"4000,000","0,000","0,000","0,000",,Materiales sueltos núcleo arcilla,"77,500","1285,800","215,000","137,500","142,500","0,000",001,"42,870 -",001,"402,000 -","No, Labio fijo -",,ARENOSO,MONTORO,GUADALQUIVIR
,ARENOSO (ATAGUIA),,Construcción,ESTADO,,A,--,--,0373645,4209423,Riego                                             -  -,-  -,,"0,000","0,000","0,000","1261,700",,Materiales sueltos homogenea,"29,500","0,000","167,500","138,000","138,000","0,000",000,-,000,-,-,,ARENOSO,MONTORO,GUADALQUIVIR
,ARGOS,,Explotación,ESTADO,A. BOTIA PANTOJA,A,18-10-1970,--,0611015,4225854,Defensa frente a avenidas                         -  - Riego,-  -,,"453,140","12,000","374,000","700,000",,Materiales sueltos P hormigón,"33,000","316,000","416,660","383,660","385,660","375,340",001,"14,100 -",001,"750,000 -",Compuertas. -,,ARGOS,CEHEGIN,SEGURA
,ARGUIS,,Explotación,COMUNIDAD DE REGANTES DE PANTANO ARGUIS,L. PARDO Y SANTOS COARASA NOGUÉS,A,31-12-1704,01-01-1938,0712137,4686870,Riego                                             -  -,-  -,,"26,000","3,060","260,000","60,000",,Gravedad,"28,000","64,250","961,000","933,000","934,000","12,680",001,"14,500 -",001,"66,000 -","No, Labio fijo -",,ISUELA,ARGUIS,EBRO
,ARIÑEZ,,Explotación,AYUNTAMIENTO DE LAS PALMAS,SATURNINO ALONSO,,01-01-1975,--,-740214,3164361,Abastecimiento                                    -  - Riego,-  -,,"1,270","0,000","0,000","6,500",,Contrafuertes,"52,500","142,000","1005,000","952,500","963,000","60,000",001,"1,990 -",001,"6,500 -","No, Labio fijo -",,B. DEL LAVADERO,VEGA DE SAN MATEO,LAS PALMAS
,ARLANZON,,Explotación,ESTADO,V. GARCIA ANTON,A,01-01-1933,--,0472164,4679337,Abastecimiento                                    -  - Riego,-  -,,"104,900","76,000","907,000","220,000",,Gravedad,"47,200","267,000","1143,800","1096,600","1100,300","113,000",002,"0,000 - 0,000",001,"143,000 -","No, Labio fijo -",,ARLANZON,VILLASUR DE HERREROS,DUERO
,ARMIÑAN,PANTANO DEL VADO DE LAS CARRETAS,Explotación,COMUNIDAD DE REGANTES DE ALDEANUEVA DEL CAMINO,JOSÉ SALMERÓN Y GARCÍA,,31-12-1912,--,0253196,4462678,Riego                                             -  -,-  -,,"29,550","0,000","0,000","40,000",,Gravedad,"16,000","158,000","0,000","0,000","0,000","9,000",001,"13,000 -",001,"40,000 -","No, Labio fijo -",,BAÑOS,BAÑOS DE MONTEMAYOR,TAJO
,AROCHE,,Explotación,AYUNTAMIENTO DE AROCHE,J.M. FERNANDEZ,,31-12-1977,--,0150747,4212224,Abastecimiento                                    -  -,-  -,,"17,000","0,000","770,000","100,000",,Gravedad,"16,500","74,500","279,000","262,500","264,000","3,740",000,-,001,"100,000 -","No, Labio fijo -",,VALDESOTELLAS,AROCHE,C. ATLÁNTICA ANDALUZA
,ARQUILLO DE SAN BLAS,,Explotación,ESTADO,E. FELTRER,A,31-12-1962,--,0652470,4470020,Abastecimiento                                    -  - Defensa frente a avenidas,-  -,,"690,520","116,000","382,000","485,000",,Gravedad,"54,000","173,200","978,960","924,960","928,210","72,400",002,"32,000 - 60,000",001,"500,000 -","No, Labio fijo -",,GUADALAVIAR,TERUEL,JÚCAR
,ARRIARAN,,Explotación,CONSORCIO DE AGUAS DE GUIPUZCOA,J.M. ELOSEGUI,A,31-12-1993,--,0562820,4768720,Abastecimiento                                    -  - Regulación,-  -,,"7,530","10,000","0,000","70,000",,Gravedad,"57,000","200,000","287,000","230,000","236,000","110,000",001,"15,000 -",001,"57,000 -","No, Labio fijo -",,ARRIARAN (ORIA),BEASAIN,NORTE
,ARRIEL ALTO,,Explotación,ENERGIAS DE ARAGON II S.L.,EPTISA,C,31-12-1956,--,0719570,4746235,Hidroeléctrico                                    -  -,-  -,,"3,400","0,000","0,000","25,000",,Gravedad,"9,000","34,000","2232,000","2223,000","2226,000","0,600",000,-,001,"25,000 -","No, Labio fijo -",,LAGO ARRIEL,SALLENT DE GALLEGO,EBRO
,ARRIEL ALTO (DIQUE DEL COLLADO),,Explotación,ENERGIAS DE ARAGON II S.L.,EPTISA,C,31-12-1956,--,0719570,4746235,Hidroeléctrico                                    -  -,-  -,,"3,400","0,000","0,000","25,000",,Gravedad,"5,000","42,000","2232,000","2227,000","2229,000","0,500",000,-,000,-,-,,LAGO ARRIEL,SALLENT DE GALLEGO,EBRO
,ARROCAMPO,,Explotación,CENTRAL NUCLEAR DE ALMARAZ,M. HOZ,C,01-01-1976,--,0265790,4407600,Industrial                                        -  -,-  -,,"96,800","0,000","127,000","369,900",,Gravedad,"36,000","217,500","258,000","222,000","232,000","40,000",001,"11,700 -",002,"35,000 - 21,400","Compuertas. - No, Labio fijo",,ARROCAMPO,ROMAGORDO Y SERREJÓN,TAJO
,ARROYO DE LA LUZ,MOLANO,Explotación,ESTADO,J. PEREZ GUERRERO,A,31-12-1992,--,0193573,4379151,Abastecimiento                                    -  -,-  -,,"64,740","1,700","598,000","145,000",,Gravedad,"22,000","545,500","357,200","335,200","344,200","4,838",001,"2,900 -",001,"141,000 -","No, Labio fijo -",,MOLANO,ARROYO DE LA LUZ,TAJO
,ARROYO DE LA PUEBLA,,Explotación,"RETRANS MADRID, S.L.",,C,01-01-1999,--,0391612,4480732,Regulación                                        -  -,-  -,,"0,000","0,000","0,000","0,000",,Contrafuertes,"4,750","21,040","0,000","0,000","0,000","0,000",001,"0,000 -",001,"0,000 -",Compuertas. -,,ARROYO DE LA PUEBLA,ROBLEDO DE CHAVELA,TAJO
,ARROYO DE LA VENTA,,Explotación,AYUNTAMIENTO DE  CERCEDILLA,,,31-12-1958,--,0409970,4513450,Abastecimiento                                    -  -,-  -,,"8,000","0,000","900,000","50,000",,Gravedad,"18,000","136,500","1343,000","1325,000","1326,590","7,000",000,-,001,"22,000 -",Compuertas. -,,LA VENTA (ARROYO DE LA VENTA),CERCEDILLA,TAJO
,ARROYO DEL FRESNILLO,GRAZALEMA,Construcción,MANCOMUNIDAD DE MUNICIPIOS DE LA SIERRA DE CADIZ,,A,--,--,0288550,4071600,Abastecimiento                                    -  -,-  -,,"0,720","0,000","0,000","46,000",,Gravedad,"20,000","130,950","943,000","923,000","924,500","0,000",001,"1,300 -",001,"32,000 -","No, Labio fijo -",,FRESNILLO,GRAZALEMA,C. ATLÁNTICA ANDALUZA
,ARROYO DEL FRESNILLO (DIQUE DEL COLLADO),,Construcción,MANCOMUNIDAD DE MUNICIPIOS DE LA SIERRA DE CADIZ,,B,--,--,0288550,4071600,Abastecimiento                                    -  -,-  -,,"0,720","0,000","0,000","46,000",,Materiales sueltos núcleo arcilla,"11,500","156,000","943,500","932,000","934,000","0,000",000,-,000,-,-,,AYO. FRESNILLO,GRAZALEMA,C. ATLÁNTICA ANDALUZA
,ARROYOCUNCOS,CUNCOS,Explotación,"JUNTA DE EXTREMADURA, C.O.P.T",,C,31-12-1985,--,0127698,4259328,Riego                                             -  -,-  -,,"30,000","1,590","673,000","76,000",,Materiales sueltos homogenea,"13,500","390,000","191,600","178,100","0,000","67,609",001,"0,000 -",001,"0,000 -","No, Labio fijo -",,CUNCOS,VILLANUEVA DEL FRESNO,GUADIANA
,"ARROYOS, LOS",,Explotación,A. Y E. ARROYO DIAZ-MERRY,A. DE JOYA,,31-12-1967,--,0411261,4493850,Riego                                             -  -,-  -,,"12,000","0,000","0,000","100,000",,Gravedad,"17,100","300,220","839,500","822,400","824,800","12,820",000,-,001,"100,000 -","No, Labio fijo -",,LADRON,"ESCORIAL, EL",TAJO
,ARTAJONA,,Construcción,ESTADO,,A,--,--,0603470,4719300,Regulación                                        -  -,-  -,,"2,496","1,248","0,000","25,840",,Materiales sueltos núcleo arcilla,"45,500","317,500","504,180","458,680","473,400","0,000",001,"5,580 -",001,"64,383 -","No, Labio fijo -",,ARROYO DE LAS CABRAS,ARTAJONA-AÑORBE,EBRO
,ARTIBA,,Explotación,AYUNTAMIENTO DE BARACALDO,ANGEL URIARTE,A,31-12-1965,--,0502425,4785623,Abastecimiento                                    -  -,-  -,,"2,700","0,000","1302,000","12,000",,Gravedad,"45,300","140,400","321,270","275,970","283,210","48,330",001,"6,470 -",001,"22,200 -","No, Labio fijo -",,ARROYO ARTIBA,BARAKALDO,NORTE
,ARTIKUTZA,,Explotación,AYUNTAMIENTO DE SAN SEBASTIAN,J-ZUAZOLA,A,31-12-1962,--,0597800,4785395,Abastecimiento                                    -  -,-  -,,"6,116","10,490","2308,600","45,000",,Gravedad,"42,700","137,450","357,120","314,420","320,160","38,000",001,"19,270 -",001,"46,120 -","No, Labio fijo -",,ENOBIETA,GOIZUETA,NORTE
,ATALAYA,,Explotación,AYUNTAMIENTO DE VILLAMIEL,M-CRUZ,,31-12-1983,--,0176048,4450602,Abastecimiento                                    -  - Riego,-  -,,"14,750","11,000","0,000","0,000",,Materiales sueltos homogenea,"16,130","192,100","436,100","419,970","422,570","6,860",000,-,001,"35,000 -","No, Labio fijo -",,ATALAYA,VILLAMIEL,TAJO
,"ATALAYA / OLIVOS, LOS",,Explotación,PARTICULAR,,,31-12-1928,--,-856794,3189013,Riego                                             -  -,-  -,,"0,000","0,000","0,000","0,000",,Gravedad,"12,000","385,000","254,000","242,000","0,000","22,000",000,-,001,"1,000 -","No, Labio fijo -",,SALINAS,ADEJE,TENERIFE
,"ATANCE, EL",,Explotación,ESTADO,E. CASTRO,A,01-10-1997,--,0518070,4547320,Riego                                             -  -,-  -,,"317,000","42,640","549,000","135,000",,Hormigón Compactado,"44,710","184,450","911,140","866,430","877,500","66,698",001,"26,700 -",001,"114,500 -","No, Labio fijo -",,SALADO,SIGUENZA,TAJO
,"ATAZAR, EL",,Explotación,CANAL DE ISABEL II,CONSULPRESA,A,31-12-1972,--,0460565,4529520,Abastecimiento                                    -  -,-  -,,"946,000","358,000","871,000","900,000",,Bóveda,"134,000","484,000","873,400","739,400","745,400","1100,000",002,"244,000 - 254,000",001,"500,000 -","No, Labio fijo -",,LOZOYA,PATONES Y ATAZAR,TAJO
,AULENCIA,,Explotación,ESTADO,F-MELLIZO,C,31-12-1945,--,0413385,4485820,Abastecimiento                                    -  -,-  -,,"117,000","24,000","900,000","290,000",,Gravedad,"20,600","73,300","735,100","714,500","716,910","0,080",001,"19,520 -",001,"230,000 -","No, Labio fijo -",,AULENCIA,VALDEMORILLO Y COLMENAREJO,TAJO
,AYAGAURES,,Explotación,CABILDO DE GRAN CANARIA,D-MADERA,,01-01-1952,--,-746911,3145472,Riego                                             -  -,-  -,,"22,460","0,000","0,000","0,000",,Gravedad,"40,000","162,000","311,000","271,000","271,000","21,000",000,-,001,"65,998 -","No, Labio fijo -",,BARRANCO DE AYAGAURES,SAN BARTOLOME DE TIRAJANA,LAS PALMAS
,AYOO DE VIDRIALES,,Explotación,COMUNIDAD DE REGANTES AYO. DE VIDRIALES,TRACSA,B,01-01-1975,--,0245440,4670890,Riego                                             -  -,-  -,,"1,890","0,000","491,000","39,040",,Materiales sueltos homogenea,"14,400","342,400","837,780","823,380","827,380","58,790",001,"0,260 -",001,"16,000 -","No, Labio fijo -",,FUENTE MILDEDOS,AYOO DE VIDRIALES,DUERO
,AYUELA,,Explotación,"JUNTA DE EXTREMADURA, C.A.C.",E. GONZALEZ,A,01-01-1980,--,0216491,4347689,Riego                                             -  -,-  -,,"51,920","0,000","487,000","238,000",,Gravedad,"17,600","367,000","404,700","387,100","389,900","13,250",001,"0,000 -",001,"238,000 -","No, Labio fijo -",,AYUELA,CASAS DE D.ANTONIO,TAJO
,AZUAGA,SOTILLO,Explotación,AYUNTAMIENTO DE AZUAGA,C. VILA Y A. LUNA,C,01-01-1974,--,0267656,4229984,Abastecimiento                                    -  -,-  -,,"290,965","48,440","0,000","496,242",,Gravedad,"19,400","77,000","399,290","379,890","385,290","1,910",000,-,001,"380,000 -","No, Labio fijo -",,SOTILLO,AZUAGA,GUADALQUIVIR
,AZUL,,Explotación,ENERGIAS DE ARAGON S.A.,EPTISA,,31-12-1958,--,0725727,4741120,Hidroeléctrico                                    -  -,-  -,,"2,520","0,000","0,000","0,000",,Gravedad,"6,000","33,000","2380,000","2374,000","2375,000","0,400",000,-,001,"69,000 -","No, Labio fijo -",,CALDARES,PANTICOSA,EBRO
,AZULES,,Explotación,ENERGIAS DE ARAGON II S.L.,,C,31-12-1961,--,0722825,4734665,Hidroeléctrico                                    -  -,-  -,,"1,500","0,000","0,000","69,000",,Gravedad,"6,000","33,000","2363,000","2357,000","2358,000","0,000",000,-,001,"0,000 -","No, Labio fijo -",,CALDARES,PANTICOSA,EBRO
,AZUTAN,,Explotación,IBERDROLA GENERACION S.A.,D. BOUDES Y N. NAVALON,A,31-12-1969,--,0321222,4405375,Hidroeléctrico                                    -  - Riego,-  -,,"35095,000","0,000","0,000","6900,000",,Contrafuertes,"55,000","500,000","357,000","302,000","317,000","212,000",001,"200,000 -",001,"6030,000 -",Compuerta segm -,,TAJO,AZUTAN Y ALCOLEA DE TAJO,TAJO
,BACHIMAÑA ALTO,BACHIMAÑA,Explotación,ENERGIAS DE ARAGON S.A.,M. ZABALA,A,31-12-1951,--,0727215,4740555,Hidroeléctrico                                    -  - Regulación,-  -,,"4,300","2,200","1561,000","68,000",,Gravedad,"38,100","157,000","2207,100","2169,000","2181,000","33,000",001,"0,000 -",001,"68,000 -","No, Labio fijo -",,ALTO CALDARES,PANTICOSA,EBRO
