codpresa,Nombre,Nombre SEPREM,Otro nombre,Fecha,Anyo,Rio,Municipio,Cuenca,Provincia,x,y,Tipos
3100064,"CORONO, EL","CORONO, EL",---,01/01/71,1971,ARROYO GODINO,PASARON DE LA VERA,TAJO,CACERES,260734,4435578,"Riego, ---, ---"
12350061,CORTIJO / PANTALEON,CORTIJO / PANTALEON,---,01/11/44,1944,BARRANCO DOLORES,FIRGAS,LAS PALMAS,LAS PALMAS,738851,3174894,"Riego, ---, ---"
5180012,CUBILLAS,CUBILLAS,---,01/01/56,1956,CUBILLAS,"ALBOLOTE, CHAPARRAL",GUADALQUIVIR,GRANADA,439470,4126405,"Riego, ---, ---"
2420001,CUERDA DEL POZO,CUERDA DEL POZO,---,31/12/41,1941,DUERO,VINUESA,DUERO,SORIA,524663,4636207,"Abastecimiento, HidroelŽctrico, Riego"
12350014,CUEVA DE LAS NI„AS,CUEVA DE LAS NIAS,---,01/01/59,1959,BARRANCO MAJADA ALTA,TEJEDA,LAS PALMAS,LAS PALMAS,752615,3153947,"Riego, ---, ---"
12350010,DOLORES / CASABLANCA,DOLORES / CASABLANCA,---,01/03/47,1947,BARRANCO CASAS BLANCAS,FIRGAS,LAS PALMAS,LAS PALMAS,738396,3176380,"Riego, ---, ---"
12350019,DRAGUILLO,DRAGUILLO,---,01/08/57,1957,BARRANCO DRAGUILLO,GALDAR,LAS PALMAS,LAS PALMAS,750421,3179597,"Riego, ---, ---"
9390001,EBRO,EBRO,---,31/12/45,1945,EBRO,"ROZAS DE VALDEARROLLO, LAS",EBRO,CANTABRIA,414326,4758227,"Abastecimiento, HidroelŽctrico, Riego"
3280052,"ENCINILLA, LA","ENCINILLA, LA",---,31/12/64,1964,ENCINILLA (ARROYO ENCINILLA),GUADARRAMA,TAJO,MADRID,406098,4503397,"Riego, ---, ---"
3190016,ENTREPE„AS,ENTREPEAS,---,01/01/56,1956,TAJO,"SACEDON, AU„ON",TAJO,GUADALAJARA,521162,4482457,"HidroelŽctrico, Riego, Abastecimiento"
5410014,"ESPARRAGAL, EL","ESPARRAGAL, EL",---,31/12/70,1970,ENCARNACION,GERENA,GUADALQUIVIR,SEVILLA,224955,4160665,"Riego, ---, ---"
3190026,ESTREMERA,ESTREMERA,---,01/01/50,1950,TAJO,"DRIEBES, LEGANIEL",TAJO,GUADALAJARA,499510,4450630,"Riego, ---, ---"
12350047,EXCUSABARAJAS,EXCUSABARAJAS,---,01/03/64,1964,EXCUSABARAJAS,SAN BARTOLOME DE TIRAJANA,LAS PALMAS,LAS PALMAS,751215,3148596,"Riego, ---, ---"
12350058,FATAGA,FATAGA,---,01/01/73,1973,BARRANCO FATAGA,SAN BARTOLOME DE TIRAJANA,LAS PALMAS,LAS PALMAS,742743,3147931,"Riego, ---, ---"
9430007,FLIX,FLIX,---,31/12/48,1948,EBRO,FLIX,EBRO,TARRAGONA,797742,4570937,"HidroelŽctrico, Regulaci—n, Riego"
8460004,FORATA,FORATA,---,01/01/69,1969,MAGRO,YATOVA,JUCAR,VALENCIA,684213,4356914,"Riego, ---, ---"
1240021,FUENTE DEL AZUFRE (CONTRAEMBALSE),FUENTE DEL AZUFRE,---,31/12/49,1949,SIL,PONFERRADA,MI„O-SIL,LEON,205737,4718533,"HidroelŽctrico, Riego, Riego"
3100073,GABRIEL Y GALAN,GABRIEL Y GALAN,---,01/01/61,1961,ALAGON,GUIJO DE GRANADILLA,TAJO,CACERES,233284,4457169,"HidroelŽctrico, Riego, ---"
12350012,GAMBUESA,GAMBUESA,---,01/01/71,1971,BARRANCO AYAGAURES,SAN BARTOLOME DE TIRAJANA,LAS PALMAS,LAS PALMAS,746457,3146193,"Riego, ---, ---"
12350011,GA„ANIAS,GAANIAS,---,01/06/64,1964,ANTONA,VEGA DE SAN MATEO,LAS PALMAS,LAS PALMAS,741023,3162220,"Riego, ---, ---"
13380070,CURBELLO (PRESA NUEVA),GARCES,---,31/12/28,1928,HOYO,ADEJE,TENERIFE,TENERIFE,859284,3188678,"Riego, ---, ---"
4060063,GARCIA DE SOLA,GARCIA DE SOLA,PUERTO PE„A,01/01/65,1965,GUADIANA,TALARRUBIAS,GUADIANA,BADAJOZ,311314,4335259,"Abastecimiento, HidroelŽctrico, Riego"
9260028,GONZALEZ LACASA,GONZALEZ LACASA,---,31/12/62,1962,ALBERCOS,ORTIGOSA DE CAMEROS,EBRO,LOGRO„O,527302,4669311,"Abastecimiento, HidroelŽctrico, Riego"
9220078,"GRADO I, EL","GRADO I, EL",---,31/12/69,1969,CINCA,"GRADO, EL",EBRO,HUESCA,767725,4671815,"HidroelŽctrico, Riego, Abastecimiento"
5230049,GUADALEN,GUADALEN,---,31/12/54,1954,GUADALEN,"ARQUILLOS, VILCHES",GUADALQUIVIR,JAEN,458265,4224145,"Abastecimiento, HidroelŽctrico, Riego"
8030092,GUADALEST,GUADALEST,---,27/11/69,1969,GUADALEST,GUADALEST,JUCAR,ALICANTE,744422,4285116,"Abastecimiento, Riego, ---"
6290030,GUADALHORCE,GUADALHORCE,---,31/12/73,1973,GUADALHORCE,CAMPILLOS,CUENCA MEDITERRANEA ANDALUZA,MALAGA,339635,4090040,"Abastecimiento, HidroelŽctrico, Riego"
5230047,GUADALMENA,GUADALMENA,---,31/12/69,1969,GUADALMENA,CHICLANA DE SEGURA,GUADALQUIVIR,JAEN,507600,4246350,"HidroelŽctrico, Riego, Abastecimiento"
6290030,GUADALHORCE,GUADALTEBA,---,31/12/73,1973,GUADALHORCE,CAMPILLOS,CUENCA MEDITERRANEA ANDALUZA,MALAGA,339635,4090040,"Abastecimiento, HidroelŽctrico, Riego"
5140033,GUADANU„O,GUADANUO,CERRO MURIANO,01/01/67,1967,GUADANU„O,CORDOBA Y VILLAVICIOSA,GUADALQUIVIR,CORDOBA,342050,4209965,"Abastecimiento, Riego, ---"
6110005,GUADARRANQUE,GUADARRANQUE,---,01/01/65,1965,GUADARRANQUE,LOS BARRIOS Y CASTELLAR,CUENCA MEDITERRANEA ANDALUZA,CADIZ,279075,4021000,"Abastecimiento, Riego, Industrial"
3100138,HELECHAL,HELECHAL,---,01/01/65,1965,ARROYO HELECHAL,ALCANTARA,TAJO,CACERES,166075,4418651,"Acuicultura, Riego, ---"
3050008,"HINCHONA, LA","HINCHONA, LA",---,01/01/46,1946,YEDRA,"TIEMBLO, EL",TAJO,AVILA,372108,4471728,"Riego, ---, ---"
12350020,"HOYAS, LAS","HOYAS, LAS",---,01/01/72,1972,BARRANCO DE LAS HOYAS,ARTENARA,LAS PALMAS,LAS PALMAS,751634,3166984,"Riego, ---, ---"
5110015,"HURONES, LOS","HURONES, LOS",---,01/01/64,1964,MAJACEITE,ALGAR,GUADALETE Y BARBATE,CADIZ,271131,4060369,"Abastecimiento, HidroelŽctrico, Riego"
8030028,ISBERT,ISBERT,---,01/01/45,1945,GIRONA,ORBA,JUCAR,ALICANTE,751659,4297224,"Riego, ---, ---"
5140028,IZNAJAR,IZNAJAR,---,01/01/69,1969,GENIL,"RUTE, CUEVAS SAN MARCOS",GUADALQUIVIR,CORDOBA,377250,4126550,"Abastecimiento, HidroelŽctrico, Riego"
3100102,"JARILLA, LA (TAJO)","JARILLA, LA (TAJO)",---,01/01/64,1964,CAVERA,JARILLA,TAJO,CACERES,242520,4451720,"Riego, ---, ---"
5140001,MALPASILLO JAUJA (AZUD),JAUJA,MALPASILLO JAUJA,31/12/51,1951,GENIL,LUCENA,GUADALQUIVIR,CORDOBA,352650,4129600,"HidroelŽctrico, Riego, Abastecimiento"
12350002,JIMENEZ / ARUCAS,JIMENEZ / ARUCAS,---,01/01/66,1966,BARRANCO JIMENEZ,ARUCAS,LAS PALMAS,LAS PALMAS,737478,3173192,"Riego, ---, ---"
2240007,JUAN BENET (PORMA),JUAN BENET (PORMA),---,30/04/68,1968,PORMA,BO„AR,DUERO,LEON,313090,4755710,"Abastecimiento, HidroelŽctrico, Riego"
12350060,LEZCANO II,LEZCANO I,TENOYA II,01/01/63,1963,BARRANCO LEZCANO,TEROR,LAS PALMAS,LAS PALMAS,735508,3170559,"Riego, ---, ---"
12350060,LEZCANO II,LEZCANO II,TENOYA II,01/01/63,1963,BARRANCO LEZCANO,TEROR,LAS PALMAS,LAS PALMAS,735508,3170559,"Riego, ---, ---"
2400015,LINARES DEL ARROYO,LINARES DEL ARROYO,---,30/04/53,1953,RIAZA,MADERUELO,DUERO,SEGOVIA,453728,4597664,"HidroelŽctrico, Riego, ---"
8460013,LORIGUILLA,LORIGUILLA,---,01/01/65,1965,TURIA,LORIGUILLA Y CHULILLA,JUCAR,VALENCIA,679189,4392798,"Regulaci—n, Riego, HidroelŽctrico"
12350041,LUGAREJOS,LUGAREJOS,---,01/01/62,1962,BCO. CORU„A,"ARTENARA, AGAETE Y GÌLDAR",LAS PALMAS,LAS PALMAS,751327,3168172,"Riego, ---, ---"
9260022,MANSILLA,MANSILLA,---,31/12/60,1960,NAJERILLA,"MANSILLA DE LA SIERRA, VILLAVELAYO",EBRO,LOGRO„O,507343,4667566,"Abastecimiento, HidroelŽctrico, Riego"
5230044,MARMOLEJO (AZUD),MARMOLEJO,---,31/12/62,1962,GUADALQUIVIR,MARMOLEJO,GUADALQUIVIR,JAEN,396000,4213200,"HidroelŽctrico, Riego, ---"
9220054,MEDIANO,MEDIANO,---,31/12/59,1959,CINCA,"FUEVA, LA",EBRO,HUESCA,765112,4689838,"HidroelŽctrico, Riego, ---"
9500030,MEQUINENZA,MEQUINENZA,---,31/12/64,1964,EBRO,MEQUINENZA,EBRO,ZARAGOZA,774241,4584997,"HidroelŽctrico, Riego, ---"
5230023,MOLINO DE GUADALEN (CONTRAEMBALSE),MOLINO DE GUADALEN,SALTO DEL MOLINO,31/12/62,1962,GUADALEN,VILCHES,GUADALQUIVIR,JAEN,457163,4222764,"Abastecimiento, HidroelŽctrico, Riego"
12350053,"MOLINOS, LOS","MOLINOS, LOS",---,01/01/65,1965,MOLINOS,PUERTO ROSARIO,LAS PALMAS,LAS PALMAS,583289,3204192,"Riego, ---, ---"
6110011,MONTE DE LA TORRE (DD-1),MONTE DE LA TORRE (DD-1),DEPOSITO DD-1,31/12/72,1972,PRIOR,"BARRIOS, LOS",CUENCA MEDITERRANEA ANDALUZA,CADIZ,275972,4004387,"Regulaci—n, Riego, ---"
4060102,MONTIJO (AZUD),MONTIJO,---,31/12/54,1954,GUADIANA,MERIDA,GUADIANA,BADAJOZ,202510,4314117,"Abastecimiento, Riego, ---"
4060074,"MOSQUIL, EL","MOSQUIL, EL",---,01/01/71,1971,LABRADOS,USAGRE,GUADIANA,BADAJOZ,228717,4255260,"Riego, ---, ---"
12350021,MULATO,MULATO,---,01/01/59,1959,BARRANCO VINAGRERAS,MOGAN,LAS PALMAS,LAS PALMAS,755161,3154489,"Riego, ---, ---"
3280058,NAVALAGAMELLA,NAVALAGAMELLA,---,31/12/72,1972,CURA,NAVALAGAMELLA,TAJO,MADRID,405106,4472030,"Riego, ---, ---"
9500043,NI„O JESUS,NIO JESUS,ANI„ON,09/05/55,1955,ARROYO DEL FRESNO O JESUS,ANI„ON,EBRO,ZARAGOZA,608478,4595385,"Riego, ---, ---"
9250050,OLIANA,OLIANA,---,31/12/59,1959,SEGRE,OLIANA Y PERAMOLA,EBRO,LLEIDA,855649,4669176,"Abastecimiento, HidroelŽctrico, Riego"
8120003,ONDA,ONDA,BENITANDUS,01/01/54,1954,SECO / VEO,ALCUDIA DE VEO,JUCAR,CASTELLON,728310,4424455,"Riego, ---, ---"
